m.label,n.label,omop_concept_id,complementary
Primary Malignant Neoplasm Disorder Value Set,"Small cell B-cell lymphoma, intrathoracic lymph nodes",45537858,
Primary Malignant Neoplasm Disorder Value Set,"Small cell B-cell lymphoma, intra-abdominal lymph nodes",45605304,
Primary Malignant Neoplasm Disorder Value Set,"Small cell B-cell lymphoma, lymph nodes of axilla and upper limb",45605305,
Primary Malignant Neoplasm Disorder Value Set,"Small cell B-cell lymphoma, lymph nodes of inguinal region and lower limb",45590940,
Primary Malignant Neoplasm Disorder Value Set,"Small cell B-cell lymphoma, intrapelvic lymph nodes",45605306,
Primary Malignant Neoplasm Disorder Value Set,"Small cell B-cell lymphoma, spleen",45566634,
Primary Malignant Neoplasm Disorder Value Set,"Small cell B-cell lymphoma, lymph nodes of multiple sites",45590941,
Primary Malignant Neoplasm Disorder Value Set,"Small cell B-cell lymphoma, extranodal and solid organ sites",45537859,
Primary Malignant Neoplasm Disorder Value Set,"Mantle cell lymphoma, unspecified site",45576357,
Primary Malignant Neoplasm Disorder Value Set,"Mantle cell lymphoma, lymph nodes of head, face, and neck",45586039,
Primary Malignant Neoplasm Disorder Value Set,"Mantle cell lymphoma, intrathoracic lymph nodes",45600548,
Primary Malignant Neoplasm Disorder Value Set,"Mantle cell lymphoma, intra-abdominal lymph nodes",45586040,
Primary Malignant Neoplasm Disorder Value Set,"Mantle cell lymphoma, lymph nodes of axilla and upper limb",45590942,
Primary Malignant Neoplasm Disorder Value Set,"Mantle cell lymphoma, lymph nodes of inguinal region and lower limb",45586041,
Primary Malignant Neoplasm Disorder Value Set,"Mantle cell lymphoma, intrapelvic lymph nodes",45547539,
Primary Malignant Neoplasm Disorder Value Set,"Mantle cell lymphoma, spleen",45586042,
Primary Malignant Neoplasm Disorder Value Set,"Mantle cell lymphoma, lymph nodes of multiple sites",45595704,
Primary Malignant Neoplasm Disorder Value Set,"Mantle cell lymphoma, extranodal and solid organ sites",45590943,
Primary Malignant Neoplasm Disorder Value Set,"Diffuse large B-cell lymphoma, unspecified site",45561851,
Primary Malignant Neoplasm Disorder Value Set,"Diffuse large B-cell lymphoma, lymph nodes of head, face, and neck",45561852,
Primary Malignant Neoplasm Disorder Value Set,"Diffuse large B-cell lymphoma, intrathoracic lymph nodes",45595705,
Primary Malignant Neoplasm Disorder Value Set,"Diffuse large B-cell lymphoma, intra-abdominal lymph nodes",45542647,
Primary Malignant Neoplasm Disorder Value Set,"Diffuse large B-cell lymphoma, lymph nodes of axilla and upper limb",45561853,
Primary Malignant Neoplasm Disorder Value Set,"Diffuse large B-cell lymphoma, lymph nodes of inguinal region and lower limb",45581240,
Primary Malignant Neoplasm Disorder Value Set,"Diffuse large B-cell lymphoma, intrapelvic lymph nodes",45547540,
Primary Malignant Neoplasm Disorder Value Set,"Diffuse large B-cell lymphoma, spleen",45586043,
Primary Malignant Neoplasm Disorder Value Set,"Diffuse large B-cell lymphoma, lymph nodes of multiple sites",45571554,
Primary Malignant Neoplasm Disorder Value Set,"Diffuse large B-cell lymphoma, extranodal and solid organ sites",45557027,
Primary Malignant Neoplasm Disorder Value Set,"Lymphoblastic (diffuse) lymphoma, unspecified site",45586045,
Primary Malignant Neoplasm Disorder Value Set,"Lymphoblastic (diffuse) lymphoma, lymph nodes of head, face, and neck",45557028,
Primary Malignant Neoplasm Disorder Value Set,"Lymphoblastic (diffuse) lymphoma, intrathoracic lymph nodes",45552303,
Primary Malignant Neoplasm Disorder Value Set,"Lymphoblastic (diffuse) lymphoma, intra-abdominal lymph nodes",45586046,
Primary Malignant Neoplasm Disorder Value Set,"Lymphoblastic (diffuse) lymphoma, lymph nodes of axilla and upper limb",45542648,
Primary Malignant Neoplasm Disorder Value Set,"Lymphoblastic (diffuse) lymphoma, lymph nodes of inguinal region and lower limb",45595706,
Primary Malignant Neoplasm Disorder Value Set,"Lymphoblastic (diffuse) lymphoma, intrapelvic lymph nodes",45571556,
Primary Malignant Neoplasm Disorder Value Set,"Lymphoblastic (diffuse) lymphoma, spleen",45557029,
Primary Malignant Neoplasm Disorder Value Set,"Lymphoblastic (diffuse) lymphoma, lymph nodes of multiple sites",45595707,
Primary Malignant Neoplasm Disorder Value Set,"Lymphoblastic (diffuse) lymphoma, extranodal and solid organ sites",45590944,
Primary Malignant Neoplasm Disorder Value Set,"Burkitt lymphoma, unspecified site",45566635,
Primary Malignant Neoplasm Disorder Value Set,"Burkitt lymphoma, lymph nodes of head, face, and neck",45600550,
Primary Malignant Neoplasm Disorder Value Set,"Burkitt lymphoma, intrathoracic lymph nodes",45605308,
Primary Malignant Neoplasm Disorder Value Set,"Burkitt lymphoma, intra-abdominal lymph nodes",45576358,
Primary Malignant Neoplasm Disorder Value Set,"Burkitt lymphoma, lymph nodes of axilla and upper limb",45605309,
Primary Malignant Neoplasm Disorder Value Set,"Burkitt lymphoma, lymph nodes of inguinal region and lower limb",45600551,
Primary Malignant Neoplasm Disorder Value Set,"Burkitt lymphoma, intrapelvic lymph nodes",45547541,
Primary Malignant Neoplasm Disorder Value Set,"Burkitt lymphoma, spleen",45537860,
Primary Malignant Neoplasm Disorder Value Set,"Burkitt lymphoma, lymph nodes of multiple sites",45561854,
Primary Malignant Neoplasm Disorder Value Set,"Burkitt lymphoma, extranodal and solid organ sites",45605310,
Primary Malignant Neoplasm Disorder Value Set,"Other non-follicular lymphoma, unspecified site",45532951,
Primary Malignant Neoplasm Disorder Value Set,"Other non-follicular lymphoma, lymph nodes of head, face, and neck",45605311,
Primary Malignant Neoplasm Disorder Value Set,"Other non-follicular lymphoma, intrathoracic lymph nodes",45590946,
Primary Malignant Neoplasm Disorder Value Set,"Other non-follicular lymphoma, intra-abdominal lymph nodes",45561855,
Primary Malignant Neoplasm Disorder Value Set,"Other non-follicular lymphoma, lymph nodes of axilla and upper limb",45552304,
Primary Malignant Neoplasm Disorder Value Set,"Other non-follicular lymphoma, lymph nodes of inguinal region and lower limb",45557030,
Primary Malignant Neoplasm Disorder Value Set,"Other non-follicular lymphoma, intrapelvic lymph nodes",45557031,
Primary Malignant Neoplasm Disorder Value Set,"Other non-follicular lymphoma, spleen",45586047,
Primary Malignant Neoplasm Disorder Value Set,"Other non-follicular lymphoma, lymph nodes of multiple sites",45566636,
Primary Malignant Neoplasm Disorder Value Set,"Other non-follicular lymphoma, extranodal and solid organ sites",45532952,
Primary Malignant Neoplasm Disorder Value Set,"Non-follicular (diffuse) lymphoma, unspecified, unspecified site",45571557,
Primary Malignant Neoplasm Disorder Value Set,"Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of head, face, and neck",45566637,
Primary Malignant Neoplasm Disorder Value Set,"Non-follicular (diffuse) lymphoma, unspecified, intrathoracic lymph nodes",45571558,
Primary Malignant Neoplasm Disorder Value Set,"Non-follicular (diffuse) lymphoma, unspecified, intra-abdominal lymph nodes",45581241,
Primary Malignant Neoplasm Disorder Value Set,"Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of axilla and upper limb",45590947,
Primary Malignant Neoplasm Disorder Value Set,"Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of inguinal region and lower limb",45537861,
Primary Malignant Neoplasm Disorder Value Set,"Non-follicular (diffuse) lymphoma, unspecified, intrapelvic lymph nodes",45600552,
Primary Malignant Neoplasm Disorder Value Set,"Non-follicular (diffuse) lymphoma, unspecified, spleen",45537862,
Primary Malignant Neoplasm Disorder Value Set,"Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of multiple sites",45561856,
Primary Malignant Neoplasm Disorder Value Set,"Non-follicular (diffuse) lymphoma, unspecified, extranodal and solid organ sites",45590948,
Primary Malignant Neoplasm Disorder Value Set,"Mycosis fungoides, unspecified site",45605313,
Primary Malignant Neoplasm Disorder Value Set,"Mycosis fungoides, lymph nodes of head, face, and neck",45542650,
Primary Malignant Neoplasm Disorder Value Set,"Mycosis fungoides, intrathoracic lymph nodes",45590949,
Primary Malignant Neoplasm Disorder Value Set,"Mycosis fungoides, intra-abdominal lymph nodes",45547542,
Primary Malignant Neoplasm Disorder Value Set,"Mycosis fungoides, lymph nodes of axilla and upper limb",45600553,
Primary Malignant Neoplasm Disorder Value Set,"Mycosis fungoides, lymph nodes of inguinal region and lower limb",45552305,
Primary Malignant Neoplasm Disorder Value Set,"Mycosis fungoides, intrapelvic lymph nodes",45571559,
Primary Malignant Neoplasm Disorder Value Set,"Mycosis fungoides, spleen",45581242,
Primary Malignant Neoplasm Disorder Value Set,"Mycosis fungoides, lymph nodes of multiple sites",45586048,
Primary Malignant Neoplasm Disorder Value Set,"Mycosis fungoides, extranodal and solid organ sites",45600554,
Primary Malignant Neoplasm Disorder Value Set,"Sezary disease, unspecified site",45586049,
Primary Malignant Neoplasm Disorder Value Set,"Sezary disease, lymph nodes of head, face, and neck",45576360,
Primary Malignant Neoplasm Disorder Value Set,"Sezary disease, intrathoracic lymph nodes",45557032,
Primary Malignant Neoplasm Disorder Value Set,"Sezary disease, intra-abdominal lymph nodes",45581243,
Primary Malignant Neoplasm Disorder Value Set,"Sezary disease, lymph nodes of axilla and upper limb",45605314,
Primary Malignant Neoplasm Disorder Value Set,"Sezary disease, lymph nodes of inguinal region and lower limb",45537863,
Primary Malignant Neoplasm Disorder Value Set,"Sezary disease, intrapelvic lymph nodes",45581244,
Primary Malignant Neoplasm Disorder Value Set,"Sezary disease, spleen",45605315,
Primary Malignant Neoplasm Disorder Value Set,"Sezary disease, lymph nodes of multiple sites",45547543,
Primary Malignant Neoplasm Disorder Value Set,"Sezary disease, extranodal and solid organ sites",45557033,
Primary Malignant Neoplasm Disorder Value Set,"Peripheral T-cell lymphoma, not classified, unspecified site",45542652,
Primary Malignant Neoplasm Disorder Value Set,"Peripheral T-cell lymphoma, not classified, lymph nodes of head, face, and neck",45600555,
Primary Malignant Neoplasm Disorder Value Set,"Peripheral T-cell lymphoma, not classified, intrathoracic lymph nodes",45571561,
Primary Malignant Neoplasm Disorder Value Set,"Peripheral T-cell lymphoma, not classified, intra-abdominal lymph nodes",45586050,
Primary Malignant Neoplasm Disorder Value Set,"Peripheral T-cell lymphoma, not classified, lymph nodes of axilla and upper limb",45542653,
Primary Malignant Neoplasm Disorder Value Set,"Peripheral T-cell lymphoma, not classified, lymph nodes of inguinal region and lower limb",45566638,
Primary Malignant Neoplasm Disorder Value Set,"Peripheral T-cell lymphoma, not classified, intrapelvic lymph nodes",45542654,
Primary Malignant Neoplasm Disorder Value Set,"Peripheral T-cell lymphoma, not classified, spleen",45605316,
Primary Malignant Neoplasm Disorder Value Set,"Peripheral T-cell lymphoma, not classified, lymph nodes of multiple sites",45605317,
Primary Malignant Neoplasm Disorder Value Set,"Peripheral T-cell lymphoma, not classified, extranodal and solid organ sites",45542655,
Primary Malignant Neoplasm Disorder Value Set,"Anaplastic large cell lymphoma, ALK-positive, unspecified site",45557034,
Primary Malignant Neoplasm Disorder Value Set,"Anaplastic large cell lymphoma, ALK-positive, lymph nodes of head, face, and neck",45571562,
Primary Malignant Neoplasm Disorder Value Set,"Anaplastic large cell lymphoma, ALK-positive, intrathoracic lymph nodes",45595709,
Primary Malignant Neoplasm Disorder Value Set,"Anaplastic large cell lymphoma, ALK-positive, intra-abdominal lymph nodes",45552306,
Primary Malignant Neoplasm Disorder Value Set,"Anaplastic large cell lymphoma, ALK-positive, lymph nodes of axilla and upper limb",45605318,
Primary Malignant Neoplasm Disorder Value Set,"Anaplastic large cell lymphoma, ALK-positive, lymph nodes of inguinal region and lower limb",45576361,
Primary Malignant Neoplasm Disorder Value Set,"Anaplastic large cell lymphoma, ALK-positive, intrapelvic lymph nodes",45561859,
Primary Malignant Neoplasm Disorder Value Set,"Anaplastic large cell lymphoma, ALK-positive, spleen",45605319,
Primary Malignant Neoplasm Disorder Value Set,"Anaplastic large cell lymphoma, ALK-positive, lymph nodes of multiple sites",45537865,
Primary Malignant Neoplasm Disorder Value Set,"Anaplastic large cell lymphoma, ALK-positive, extranodal and solid organ sites",45600556,
Primary Malignant Neoplasm Disorder Value Set,"Anaplastic large cell lymphoma, ALK-negative, unspecified site",45547544,
Primary Malignant Neoplasm Disorder Value Set,"Anaplastic large cell lymphoma, ALK-negative, lymph nodes of head, face, and neck",45605320,
Primary Malignant Neoplasm Disorder Value Set,"Anaplastic large cell lymphoma, ALK-negative, intrathoracic lymph nodes",45571563,
Primary Malignant Neoplasm Disorder Value Set,"Anaplastic large cell lymphoma, ALK-negative, intra-abdominal lymph nodes",45537866,
Primary Malignant Neoplasm Disorder Value Set,"Anaplastic large cell lymphoma, ALK-negative, lymph nodes of axilla and upper limb",45547545,
Primary Malignant Neoplasm Disorder Value Set,"Anaplastic large cell lymphoma, ALK-negative, lymph nodes of inguinal region and lower limb",45586052,
Primary Malignant Neoplasm Disorder Value Set,"Anaplastic large cell lymphoma, ALK-negative, intrapelvic lymph nodes",45576362,
Primary Malignant Neoplasm Disorder Value Set,"Anaplastic large cell lymphoma, ALK-negative, spleen",45605321,
Primary Malignant Neoplasm Disorder Value Set,"Anaplastic large cell lymphoma, ALK-negative, lymph nodes of multiple sites",45595710,
Primary Malignant Neoplasm Disorder Value Set,"Anaplastic large cell lymphoma, ALK-negative, extranodal and solid organ sites",45586053,
Primary Malignant Neoplasm Disorder Value Set,"Mature T/NK-cell lymphomas, unspecified, unspecified site",45532953,
Primary Malignant Neoplasm Disorder Value Set,"Mature T/NK-cell lymphomas, unspecified, lymph nodes of head, face, and neck",45586054,
Primary Malignant Neoplasm Disorder Value Set,"Mature T/NK-cell lymphomas, unspecified, intrathoracic lymph nodes",45600557,
Primary Malignant Neoplasm Disorder Value Set,"Mature T/NK-cell lymphomas, unspecified, intra-abdominal lymph nodes",45605322,
Primary Malignant Neoplasm Disorder Value Set,"Mature T/NK-cell lymphomas, unspecified, lymph nodes of axilla and upper limb",45605323,
Primary Malignant Neoplasm Disorder Value Set,"Mature T/NK-cell lymphomas, unspecified, lymph nodes of inguinal region and lower limb",45542656,
Primary Malignant Neoplasm Disorder Value Set,"Mature T/NK-cell lymphomas, unspecified, intrapelvic lymph nodes",45532954,
Primary Malignant Neoplasm Disorder Value Set,"Mature T/NK-cell lymphomas, unspecified, spleen",45581245,
Primary Malignant Neoplasm Disorder Value Set,"Mature T/NK-cell lymphomas, unspecified, lymph nodes of multiple sites",45571564,
Primary Malignant Neoplasm Disorder Value Set,"Mature T/NK-cell lymphomas, unspecified, extranodal and solid organ sites",45571565,
Primary Malignant Neoplasm Disorder Value Set,"Cutaneous T-cell lymphoma, unspecified, unspecified site",45590951,
Primary Malignant Neoplasm Disorder Value Set,"Cutaneous T-cell lymphoma, unspecified lymph nodes of head, face, and neck",45600558,
Primary Malignant Neoplasm Disorder Value Set,"Cutaneous T-cell lymphoma, unspecified, intrathoracic lymph nodes",45586055,
Primary Malignant Neoplasm Disorder Value Set,"Cutaneous T-cell lymphoma, unspecified, intra-abdominal lymph nodes",45566639,
Primary Malignant Neoplasm Disorder Value Set,"Cutaneous T-cell lymphoma, unspecified, lymph nodes of axilla and upper limb",45532955,
Primary Malignant Neoplasm Disorder Value Set,"Cutaneous T-cell lymphoma, unspecified, lymph nodes of inguinal region and lower limb",45537867,
Primary Malignant Neoplasm Disorder Value Set,"Cutaneous T-cell lymphoma, unspecified, intrapelvic lymph nodes",45542657,
Primary Malignant Neoplasm Disorder Value Set,"Cutaneous T-cell lymphoma, unspecified, spleen",45605324,
Primary Malignant Neoplasm Disorder Value Set,"Cutaneous T-cell lymphoma, unspecified, lymph nodes of multiple sites",45581246,
Primary Malignant Neoplasm Disorder Value Set,"Cutaneous T-cell lymphoma, unspecified, extranodal and solid organ sites",45561860,
Primary Malignant Neoplasm Disorder Value Set,"Other mature T/NK-cell lymphomas, unspecified site",45590952,
Primary Malignant Neoplasm Disorder Value Set,"Other mature T/NK-cell lymphomas, lymph nodes of head, face, and neck",45561861,
Primary Malignant Neoplasm Disorder Value Set,"Other mature T/NK-cell lymphomas, intrathoracic lymph nodes",45547546,
Primary Malignant Neoplasm Disorder Value Set,"Other mature T/NK-cell lymphomas, intra-abdominal lymph nodes",45561862,
Primary Malignant Neoplasm Disorder Value Set,"Other mature T/NK-cell lymphomas, lymph nodes of axilla and upper limb",45590953,
Primary Malignant Neoplasm Disorder Value Set,"Other mature T/NK-cell lymphomas, lymph nodes of inguinal region and lower limb",45595712,
Primary Malignant Neoplasm Disorder Value Set,"Other mature T/NK-cell lymphomas, intrapelvic lymph nodes",45566640,
Primary Malignant Neoplasm Disorder Value Set,"Other mature T/NK-cell lymphomas, spleen",45605325,
Primary Malignant Neoplasm Disorder Value Set,"Other mature T/NK-cell lymphomas, lymph nodes of multiple sites",45552307,
Primary Malignant Neoplasm Disorder Value Set,"Other mature T/NK-cell lymphomas, extranodal and solid organ sites",45561863,
Primary Malignant Neoplasm Disorder Value Set,"Unspecified B-cell lymphoma, unspecified site",45590954,
Primary Malignant Neoplasm Disorder Value Set,"Unspecified B-cell lymphoma, lymph nodes of head, face, and neck",45581247,
Primary Malignant Neoplasm Disorder Value Set,"Unspecified B-cell lymphoma, intrathoracic lymph nodes",45561864,
Primary Malignant Neoplasm Disorder Value Set,"Unspecified B-cell lymphoma, intra-abdominal lymph nodes",45590955,
Primary Malignant Neoplasm Disorder Value Set,"Unspecified B-cell lymphoma, lymph nodes of axilla and upper limb",45605326,
Primary Malignant Neoplasm Disorder Value Set,"Unspecified B-cell lymphoma, lymph nodes of inguinal region and lower limb",45595713,
Primary Malignant Neoplasm Disorder Value Set,"Unspecified B-cell lymphoma, intrapelvic lymph nodes",45537868,
Primary Malignant Neoplasm Disorder Value Set,"Unspecified B-cell lymphoma, spleen",45605327,
Primary Malignant Neoplasm Disorder Value Set,"Unspecified B-cell lymphoma, lymph nodes of multiple sites",45547548,
Primary Malignant Neoplasm Disorder Value Set,"Unspecified B-cell lymphoma, extranodal and solid organ sites",45542658,
Primary Malignant Neoplasm Disorder Value Set,"Mediastinal (thymic) large B-cell lymphoma, unspecified site",45590956,
Primary Malignant Neoplasm Disorder Value Set,"Mediastinal (thymic) large B-cell lymphoma, lymph nodes of head, face, and neck",45581248,
Primary Malignant Neoplasm Disorder Value Set,"Mediastinal (thymic) large B-cell lymphoma, intrathoracic lymph nodes",45586057,
Primary Malignant Neoplasm Disorder Value Set,"Mediastinal (thymic) large B-cell lymphoma, intra-abdominal lymph nodes",45590957,
Primary Malignant Neoplasm Disorder Value Set,"Mediastinal (thymic) large B-cell lymphoma, lymph nodes of axilla and upper limb",45566641,
Primary Malignant Neoplasm Disorder Value Set,"Mediastinal (thymic) large B-cell lymphoma, lymph nodes of inguinal region and lower limb",45590958,
Primary Malignant Neoplasm Disorder Value Set,"Mediastinal (thymic) large B-cell lymphoma, intrapelvic lymph nodes",45581249,
Primary Malignant Neoplasm Disorder Value Set,"Mediastinal (thymic) large B-cell lymphoma, spleen",45595714,
Primary Malignant Neoplasm Disorder Value Set,"Mediastinal (thymic) large B-cell lymphoma, lymph nodes of multiple sites",45552308,
Primary Malignant Neoplasm Disorder Value Set,"Mediastinal (thymic) large B-cell lymphoma, extranodal and solid organ sites",45561865,
Primary Malignant Neoplasm Disorder Value Set,"Other specified types of non-Hodgkin lymphoma, unspecified site",45561866,
Primary Malignant Neoplasm Disorder Value Set,"Other specified types of non-Hodgkin lymphoma, lymph nodes of head, face, and neck",45557035,
Primary Malignant Neoplasm Disorder Value Set,"Other specified types of non-Hodgkin lymphoma, intrathoracic lymph nodes",45566642,
Primary Malignant Neoplasm Disorder Value Set,"Other specified types of non-Hodgkin lymphoma, intra-abdominal lymph nodes",45566643,
Primary Malignant Neoplasm Disorder Value Set,"Other specified types of non-Hodgkin lymphoma, lymph nodes of axilla and upper limb",45566644,
Primary Malignant Neoplasm Disorder Value Set,"Other specified types of non-Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",45576363,
Primary Malignant Neoplasm Disorder Value Set,"Other specified types of non-Hodgkin lymphoma, intrapelvic lymph nodes",45586058,
Primary Malignant Neoplasm Disorder Value Set,"Other specified types of non-Hodgkin lymphoma, spleen",45537869,
Primary Malignant Neoplasm Disorder Value Set,"Other specified types of non-Hodgkin lymphoma, lymph nodes of multiple sites",45576364,
Primary Malignant Neoplasm Disorder Value Set,"Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites",45566645,
Primary Malignant Neoplasm Disorder Value Set,"Non-Hodgkin lymphoma, unspecified site",45590959,
Primary Malignant Neoplasm Disorder Value Set,"Non-Hodgkin lymphoma, lymph nodes of head, face, and neck",45557036,
Primary Malignant Neoplasm Disorder Value Set,"Non-Hodgkin lymphoma, intrathoracic lymph nodes",45547549,
Primary Malignant Neoplasm Disorder Value Set,"Non-Hodgkin lymphoma, intra-abdominal lymph nodes",45600559,
Primary Malignant Neoplasm Disorder Value Set,"Non-Hodgkin lymphoma, lymph nodes of axilla and upper limb",45561868,
Primary Malignant Neoplasm Disorder Value Set,"Non-Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",45547550,
Primary Malignant Neoplasm Disorder Value Set,"Non-Hodgkin lymphoma, intrapelvic lymph nodes",45600560,
Primary Malignant Neoplasm Disorder Value Set,"Non-Hodgkin lymphoma, spleen",45537870,
Primary Malignant Neoplasm Disorder Value Set,"Non-Hodgkin lymphoma, lymph nodes of multiple sites",45576365,
Primary Malignant Neoplasm Disorder Value Set,"Non-Hodgkin lymphoma, extranodal and solid organ sites",45590960,
Primary Malignant Neoplasm Disorder Value Set,Enteropathy-type (intestinal) T-cell lymphoma,37613042,
Primary Malignant Neoplasm Disorder Value Set,Blastic NK-cell lymphoma,37610179,
Primary Malignant Neoplasm Disorder Value Set,Primary cutaneous CD30-positive T-cell proliferation,45436430,
Primary Malignant Neoplasm Disorder Value Set,Waldenstrom's macroglobulinemia,4149011,
Primary Malignant Neoplasm Disorder Value Set,Immunoproliferative small intestinal diseases,4003836,
Primary Malignant Neoplasm Disorder Value Set,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma],920123,
Primary Malignant Neoplasm Disorder Value Set,Other malignant immunoproliferative diseases,37606721,
Primary Malignant Neoplasm Disorder Value Set,"Malignant immunoproliferative disease, unspecified",37610933,
Primary Malignant Neoplasm Disorder Value Set,Multiple myeloma not having achieved remission,45605329,
Primary Malignant Neoplasm Disorder Value Set,Plasma cell leukemia not having achieved remission,45557038,
Primary Malignant Neoplasm Disorder Value Set,Extramedullary plasmacytoma not having achieved remission,45542660,
Primary Malignant Neoplasm Disorder Value Set,Extramedullary plasmacytoma in relapse,45586060,
Primary Malignant Neoplasm Disorder Value Set,Solitary plasmacytoma not having achieved remission,45537872,
Primary Malignant Neoplasm Disorder Value Set,Solitary plasmacytoma in remission,45590963,
Primary Malignant Neoplasm Disorder Value Set,Solitary plasmacytoma in relapse,45571567,
Primary Malignant Neoplasm Disorder Value Set,Acute lymphoblastic leukemia not having achieved remission,45557039,
Primary Malignant Neoplasm Disorder Value Set,"Acute lymphoblastic leukemia, in remission",45557040,
Primary Malignant Neoplasm Disorder Value Set,"Acute lymphoblastic leukemia, in relapse",45566647,
Primary Malignant Neoplasm Disorder Value Set,Chronic lymphocytic leukemia of B-cell type not having achieved remission,45571568,
Primary Malignant Neoplasm Disorder Value Set,Chronic lymphocytic leukemia of B-cell type in remission,45561871,
Primary Malignant Neoplasm Disorder Value Set,Chronic lymphocytic leukemia of B-cell type in relapse,45581253,
Primary Malignant Neoplasm Disorder Value Set,Prolymphocytic leukemia of B-cell type not having achieved remission,45532958,
Primary Malignant Neoplasm Disorder Value Set,"Prolymphocytic leukemia of B-cell type, in remission",45571569,
Primary Malignant Neoplasm Disorder Value Set,"Prolymphocytic leukemia of B –cell type, in relapse",45552311,
Primary Malignant Neoplasm Disorder Value Set,Hairy cell leukemia not having achieved remission,45590964,
Primary Malignant Neoplasm Disorder Value Set,"Hairy cell leukemia, in remission",45542662,
Primary Malignant Neoplasm Disorder Value Set,"Hairy cell leukemia, in relapse",45561872,
Primary Malignant Neoplasm Disorder Value Set,Adult T-cell lymphoma/leukemia (HTLV-1-associated) not having achieved remission,45561873,
Primary Malignant Neoplasm Disorder Value Set,Adult T-cell lymphoma/leukemia (HTLV-1-associated) in remission,45552313,
Primary Malignant Neoplasm Disorder Value Set,Adult T-cell lymphoma/leukemia (HTLV-1-associated) in relapse,45586063,
Primary Malignant Neoplasm Disorder Value Set,Prolymphocytic leukemia of T-cell type not having achieved remission,45537874,
Primary Malignant Neoplasm Disorder Value Set,"Prolymphocytic leukemia of T-cell type, in remission",45586064,
Primary Malignant Neoplasm Disorder Value Set,"Prolymphocytic leukemia of T –cell type, in relapse",45595718,
Primary Malignant Neoplasm Disorder Value Set,"Lymphoid leukemia, unspecified not having achieved remission",45595719,
Primary Malignant Neoplasm Disorder Value Set,"Lymphoid leukemia, unspecified, in remission",45547552,
Primary Malignant Neoplasm Disorder Value Set,"Lymphoid leukemia, unspecified, in relapse",45586065,
Primary Malignant Neoplasm Disorder Value Set,Mature B-cell leukemia Burkitt-type not having achieved remission,45590965,
Primary Malignant Neoplasm Disorder Value Set,"Mature B-cell leukemia Burkitt-type, in remission",45537875,
Primary Malignant Neoplasm Disorder Value Set,"Mature B-cell leukemia Burkitt-type, in relapse",45547553,
Primary Malignant Neoplasm Disorder Value Set,Other lymphoid leukemia not having achieved remission,45595720,
Primary Malignant Neoplasm Disorder Value Set,"Other lymphoid leukemia, in remission",45542664,
Primary Malignant Neoplasm Disorder Value Set,"Other lymphoid leukemia, in relapse",45576366,
Primary Malignant Neoplasm Disorder Value Set,"Acute myeloblastic leukemia, not having achieved remission",45547554,
Primary Malignant Neoplasm Disorder Value Set,"Acute myeloblastic leukemia, in remission",45581255,
Primary Malignant Neoplasm Disorder Value Set,"Acute myeloblastic leukemia, in relapse",45532959,
Primary Malignant Neoplasm Disorder Value Set,"Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission",45576368,
Primary Malignant Neoplasm Disorder Value Set,"Chronic myeloid leukemia, BCR/ABL-positive, in remission",45595721,
Primary Malignant Neoplasm Disorder Value Set,"Chronic myeloid leukemia, BCR/ABL-positive, in relapse",45547555,
Primary Malignant Neoplasm Disorder Value Set,"Atypical chronic myeloid leukemia, BCR/ABL-negative not having achieved remission",45561875,
Primary Malignant Neoplasm Disorder Value Set,"Atypical chronic myeloid leukemia, BCR/ABL-negative, in remission",45586066,
Primary Malignant Neoplasm Disorder Value Set,"Atypical chronic myeloid leukemia, BCR/ABL-negative, in relapse",45547556,
Primary Malignant Neoplasm Disorder Value Set,"Myeloid sarcoma, not having achieved remission",45532960,
Primary Malignant Neoplasm Disorder Value Set,"Myeloid sarcoma, in remission",45552314,
Primary Malignant Neoplasm Disorder Value Set,"Myeloid sarcoma, in relapse",45595722,
Primary Malignant Neoplasm Disorder Value Set,"Acute promyelocytic leukemia, not having achieved remission",45532961,
Primary Malignant Neoplasm Disorder Value Set,"Acute promyelocytic leukemia, in remission",45547557,
Primary Malignant Neoplasm Disorder Value Set,"Acute promyelocytic leukemia, in relapse",45605331,
Primary Malignant Neoplasm Disorder Value Set,"Acute myelomonocytic leukemia, not having achieved remission",45557043,
Primary Malignant Neoplasm Disorder Value Set,Acute myelomonocytic in remission,45595723,
Primary Malignant Neoplasm Disorder Value Set,Acute myelomonocytic in relapse,45561876,
Primary Malignant Neoplasm Disorder Value Set,Acute myeloid leukemia with 11q23 abnormality not having achieved remission,45561877,
Primary Malignant Neoplasm Disorder Value Set,Acute myeloid leukemia with 11q23 abnormality in remission,37094722,
Primary Malignant Neoplasm Disorder Value Set,Acute myeloid leukemia with 11q23 abnormality in relapse,45532962,
Primary Malignant Neoplasm Disorder Value Set,"Myeloid leukemia, unspecified, not having achieved remission",45561879,
